tag,source,score,wmape_weighted,peak_std_11_12,dec_mean,n_folds,xgb_params
optuna_016,optuna,33.28450163582084,32.70506133019431,0.5794403056265237,30.30048874354545,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.12666524992166653, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 13, ""subsample"": 0.7792366116605901, ""colsample_bytree"": 0.6566336966609405, ""reg_lambda"": 0.03824425531610735, ""reg_alpha"": 0.3627013007684184, ""gamma"": 2.3871440271754074}"
optuna_054,optuna,33.318288217181234,32.31531613676102,1.0029720804202151,29.19376759861434,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.07352859486520652, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 6, ""subsample"": 0.9388150257054478, ""colsample_bytree"": 0.6213134151043095, ""reg_lambda"": 1.1532599858179835, ""reg_alpha"": 1.0271431308547818, ""gamma"": 1.7986504325957757}"
random_069,random,33.32262330767078,31.82692011400507,1.4957031936657135,29.101544093195876,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.09218628777999172, ""n_estimators"": 2900, ""max_depth"": 3, ""min_child_weight"": 14, ""subsample"": 0.723138607179242, ""colsample_bytree"": 0.9939532255614322, ""reg_lambda"": 0.33276405262054126, ""reg_alpha"": 0.0005728311712516923, ""gamma"": 0.5734662447607244}"
random_021,random,33.34849328789135,31.996469266636083,1.3520240212552672,28.37118720115983,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.010632070552684376, ""n_estimators"": 2900, ""max_depth"": 3, ""min_child_weight"": 4, ""subsample"": 0.6548554798838375, ""colsample_bytree"": 0.603237472444074, ""reg_lambda"": 0.029320651670170693, ""reg_alpha"": 0.00010093823692790826, ""gamma"": 2.480399988074467}"
random_060,random,33.350364909991356,32.607260564483326,0.7431043455080275,28.91133596368794,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.012303159430557622, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 2, ""subsample"": 0.991508494443956, ""colsample_bytree"": 0.6642153947212379, ""reg_lambda"": 1.099061028308434, ""reg_alpha"": 0.010261230702086423, ""gamma"": 2.7890905735252733}"
optuna_036,optuna,33.35365324147987,32.432951938645814,0.9207013028340563,30.16124726915678,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.025021691360040253, ""n_estimators"": 2900, ""max_depth"": 5, ""min_child_weight"": 14, ""subsample"": 0.8215047238873161, ""colsample_bytree"": 0.6862832542184638, ""reg_lambda"": 0.06587842292430902, ""reg_alpha"": 0.14329957269576937, ""gamma"": 2.9421889854073724}"
optuna_014,optuna,33.3554156559554,32.29480650645495,1.0606091495004535,29.436134415687746,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.09083642005367193, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 9, ""subsample"": 0.7619528352234127, ""colsample_bytree"": 0.6052561262871233, ""reg_lambda"": 0.033455375738399955, ""reg_alpha"": 0.007253751466023706, ""gamma"": 2.3534758920965593}"
random_009,random,33.391107217189415,31.54078809972506,1.8503191174643585,28.864929245062477,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.1294597424358852, ""n_estimators"": 2900, ""max_depth"": 3, ""min_child_weight"": 3, ""subsample"": 0.6018270225829578, ""colsample_bytree"": 0.8132273669611374, ""reg_lambda"": 1.1595127595547594, ""reg_alpha"": 0.10943349999864965, ""gamma"": 1.2030068675603003}"
optuna_045,optuna,33.39438335082585,32.6991850597079,0.6951982911179477,28.79786133966092,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.02740303157362909, ""n_estimators"": 2900, ""max_depth"": 3, ""min_child_weight"": 14, ""subsample"": 0.89062329504342, ""colsample_bytree"": 0.8264798063879703, ""reg_lambda"": 1.4127827422291177, ""reg_alpha"": 0.0015571130921050243, ""gamma"": 1.263878036092011}"
optuna_058,optuna,33.41525061527677,32.5787554116065,0.8364952036702675,28.316366311106677,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.06707466201374802, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 5, ""subsample"": 0.9643083107504601, ""colsample_bytree"": 0.6718097250759362, ""reg_lambda"": 0.08554970625285842, ""reg_alpha"": 2.6209745475424486, ""gamma"": 1.8645981225835078}"
optuna_081,optuna,33.43604190701747,32.518615388074316,0.9174265189431502,27.740869552942677,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.13115983853082974, ""n_estimators"": 2900, ""max_depth"": 3, ""min_child_weight"": 4, ""subsample"": 0.9880690107238083, ""colsample_bytree"": 0.6020350882964158, ""reg_lambda"": 8.059325537613313, ""reg_alpha"": 0.15712620571707872, ""gamma"": 2.273091048464364}"
random_049,random,33.44402196083731,32.409299105114975,1.0347228557223367,29.06875973503269,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.016452411805725996, ""n_estimators"": 2900, ""max_depth"": 3, ""min_child_weight"": 4, ""subsample"": 0.7935966896765526, ""colsample_bytree"": 0.9153312363059324, ""reg_lambda"": 0.013371493455694255, ""reg_alpha"": 0.0515821487184545, ""gamma"": 2.85655854691652}"
optuna_083,optuna,33.464813573123365,32.529418603861046,0.9353949692623218,29.9842347353056,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.12353176992778478, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 7, ""subsample"": 0.9350153872737155, ""colsample_bytree"": 0.6366368604869368, ""reg_lambda"": 5.35835085250599, ""reg_alpha"": 0.03596636225344741, ""gamma"": 2.0573870486550256}"
optuna_040,optuna,33.46488823532881,32.43390224331463,1.0309859920141782,29.976571631355895,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.03663441863014514, ""n_estimators"": 2900, ""max_depth"": 5, ""min_child_weight"": 15, ""subsample"": 0.8999382766761693, ""colsample_bytree"": 0.9660198444437713, ""reg_lambda"": 0.1751234097466469, ""reg_alpha"": 0.00045329954168761045, ""gamma"": 1.0285990115769028}"
optuna_019,optuna,33.47414611106998,32.70325456918359,0.7708915418863831,28.910759618198785,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.07218257167280559, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 9, ""subsample"": 0.844929985446596, ""colsample_bytree"": 0.6666201835929481, ""reg_lambda"": 0.010554346377726068, ""reg_alpha"": 0.3206871343883081, ""gamma"": 2.447189511928628}"
optuna_070,optuna,33.47525474476689,32.868657771554105,0.6065969732127914,28.12886242215361,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.06963290819219285, ""n_estimators"": 2900, ""max_depth"": 3, ""min_child_weight"": 6, ""subsample"": 0.9024200776548925, ""colsample_bytree"": 0.6557002874550849, ""reg_lambda"": 0.028091464397431088, ""reg_alpha"": 0.4340501594923413, ""gamma"": 0.40305481877171323}"
