iter,tune_metric,tune_score,wmape_weighted,peak_std_11_12,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,n_estimators
131,wmape_only,24.85353180785237,24.85353180785237,inf,0.032726556120030344,3,14,0.8141847523069411,0.6034900425760212,0.004991124838020107,0.2742732208519441,1.1612000588041456,2900
74,wmape_only,24.86014169239328,24.86014169239328,inf,0.029548226463614272,8,14,0.8309972408912276,0.7680551497546458,0.1480507820361509,0.1554934370557868,0.9038435871726949,2900
62,wmape_only,24.898385448194727,24.898385448194727,inf,0.1193934077385147,3,5,0.6265601159135692,0.8576827159480886,0.00013614600458509947,0.11907190031812552,0.7422713675968654,2900
109,wmape_only,24.908370190919438,24.908370190919438,inf,0.027841594501243395,4,8,0.6602763062439847,0.6646748930622538,0.0226857098512479,0.16998565103776345,1.0878510891134798,2900
75,wmape_only,24.909197994773688,24.909197994773688,inf,0.014589968293138298,5,11,0.7433821387917543,0.6982563518959295,0.00026961071422045496,2.321435747348197,0.991724460600307,2900
138,wmape_only,24.93599012575555,24.93599012575555,inf,0.12174926081774505,3,15,0.6876049044853018,0.8674480904941337,0.5120111629163657,0.05957921460224099,2.3278523058537584,2900
14,wmape_only,24.952561150554036,24.952561150554036,inf,0.04065976274596941,6,8,0.7858370380977254,0.8474460969689724,3.228982998369843,0.31864160537235064,2.993278666523998,2900
79,wmape_only,24.953363472968114,24.953363472968114,inf,0.01594445117426484,7,12,0.6511250732647825,0.6503157718542525,0.22613399617336674,0.12985429109081004,2.6334937446719877,2900
108,wmape_only,24.954444545996513,24.954444545996513,inf,0.03548367456770123,6,12,0.6717195443610571,0.6115959717104771,1.2877182123623336,1.3704688886328649,0.20313901773661125,2900
146,wmape_only,24.963728897760827,24.963728897760827,inf,0.12749711875719627,3,11,0.7857502656356397,0.9403349740622549,0.005198053683032917,0.01802143677049461,1.0486744796850886,2900
84,wmape_only,24.984145735613243,24.984145735613243,inf,0.018908123830035737,5,6,0.9679730052560925,0.9728894196353224,1.1143053913402912,0.1366830968121297,2.8372489805660126,2900
134,wmape_only,24.984309567273442,24.984309567273442,inf,0.017896051260957332,3,4,0.9855247085413661,0.8156630225293742,0.0014983049144038272,7.377651818253208,1.8391883763259398,2900
132,wmape_only,24.999796424465977,24.999796424465977,inf,0.011025786066729545,5,1,0.687347484458769,0.7741771969414047,0.0030984630331071118,13.3757110669087,2.8952042486573895,2900
69,wmape_only,25.00395806381273,25.00395806381273,inf,0.09218628777999172,3,14,0.723138607179242,0.9939532255614322,0.0005728311712516923,0.33276405262054126,0.5734662447607244,2900
103,wmape_only,25.0121807825961,25.0121807825961,inf,0.07930013300590555,5,13,0.6585093872368862,0.9304161154999359,2.044045055208092,9.393410379371488,1.1693778693154275,2900
63,wmape_only,25.02893378460549,25.02893378460549,inf,0.03153878096975039,7,11,0.9977384348676582,0.8836632598716658,0.0036192409953755187,8.044394454778791,1.2536812489203855,2900
39,wmape_only,25.030965897498685,25.030965897498685,inf,0.11324281497789286,3,8,0.6332546558735458,0.6450889182024918,0.0019273694076300488,0.2963963232796465,2.0382725121226417,2900
58,wmape_only,25.033256569417585,25.033256569417585,inf,0.05658022556539351,8,14,0.6679135369973599,0.8584708313528506,3.248560654319185,1.5118312194523238,0.6707799086832211,2900
142,wmape_only,25.042630967998868,25.042630967998868,inf,0.050746540255128945,6,7,0.8567084978256885,0.9926364623176547,0.024328283020101118,6.2562631267879345,2.4241826948764063,2900
65,wmape_only,25.04455342772039,25.04455342772039,inf,0.042419101753186264,4,3,0.7405778930417171,0.8017556120432754,0.016337590340334315,0.3217623111720225,2.10342933701168,2900
52,wmape_only,25.051990096296436,25.051990096296436,inf,0.02032854896945375,7,9,0.8290213319296734,0.7980195658033542,0.03148810132517926,3.129510572646346,1.0367250991258676,2900
46,wmape_only,25.05272712419366,25.05272712419366,inf,0.010871715916442336,8,8,0.9163960987985644,0.9979784645446867,3.9319207801520575,0.7176402242558759,1.4154942122266887,2900
59,wmape_only,25.082492987484258,25.082492987484258,inf,0.011938906305486581,3,11,0.6811939812078327,0.9930274374172859,0.03305097343578328,0.017274563247831876,0.07107858871900163,2900
125,wmape_only,25.083195581528898,25.083195581528898,inf,0.018442678450750254,5,10,0.7301081085465349,0.7913647974718035,0.0002209225883669782,0.07328267159765157,0.8293642042295795,2900
60,wmape_only,25.086471680626182,25.086471680626182,inf,0.012303159430557622,4,2,0.991508494443956,0.6642153947212379,0.010261230702086423,1.099061028308434,2.7890905735252733,2900
19,wmape_only,25.09544684309923,25.09544684309923,inf,0.016299725178772463,4,5,0.8599510932216052,0.9532497979745765,0.00019698302648803648,0.0438500957265573,2.702531500946736,2900
61,wmape_only,25.102730390727707,25.102730390727707,inf,0.07122432491761661,3,1,0.9423816687883806,0.7503237471682968,2.8763030650399255,0.5295746569874168,2.185660028317049,2900
15,wmape_only,25.103481590006787,25.103481590006787,inf,0.023615013866291557,4,4,0.9640593968341461,0.7401248535913232,4.937323225133877,4.694524050455317,2.3560389748623205,2900
94,wmape_only,25.122379083068214,25.122379083068214,inf,0.04447508893960845,4,4,0.6344369565649507,0.6846288800625772,2.8332994658145347,0.1374923271743718,0.4606729561788051,2900
34,wmape_only,25.140258493053636,25.140258493053636,inf,0.013774259845890768,3,8,0.7812045793009688,0.6760028565133186,0.0030058817289832186,0.05249692210112829,0.8726975265524883,2900
80,wmape_only,25.143537056380914,25.143537056380914,inf,0.015837427376545657,3,12,0.7483173859645416,0.7095309912207275,0.01435052251659882,0.07122191145218497,0.9060555674947264,2900
144,wmape_only,25.161679562821583,25.161679562821583,inf,0.019477054619802963,3,6,0.9076647939738126,0.9020103494475521,0.012031281164981441,0.04960458323367946,0.4657646097394562,2900
29,wmape_only,25.180430542344432,25.180430542344432,inf,0.018213708010004038,4,1,0.6518472954168185,0.7657436702139541,0.03777746381958018,0.09028994527655253,2.4410787655455364,2900
0,wmape_only,25.192914080664618,25.192914080664618,inf,0.04911840953875897,7,13,0.6467775120989,0.7509718434702743,0.0007503107974349392,0.033814087539727034,0.017458740089110858,2900
12,wmape_only,25.193460859976035,25.193460859976035,inf,0.013478139190627883,5,2,0.6350718488563108,0.9989103153660672,0.00011947914341018486,6.437029531641641,1.5364095437143432,2900
42,wmape_only,25.225761833902514,25.225761833902514,inf,0.03361921155350764,5,6,0.780928569627059,0.6248993222605825,2.0939954990711587,0.7939411319987361,0.6231048405903902,2900
54,wmape_only,25.23085068345036,25.23085068345036,inf,0.017993720302430703,6,5,0.8189702645923693,0.919472152414613,0.0013144961946039578,0.010002706107999757,2.004448955821697,2900
105,wmape_only,25.332872727127683,25.332872727127683,inf,0.022199409177126993,7,7,0.993261123317943,0.7258023216971057,0.0004651206502232357,0.13557492161216594,2.5228719346372745,2900
10,wmape_only,25.35804114078,25.35804114078,inf,0.07926036941873048,7,11,0.705686937303616,0.8028653799931488,0.006450063437064175,9.245031280273396,1.2842410069107477,2900
81,wmape_only,25.38755613016665,25.38755613016665,inf,0.01667577056800553,6,5,0.6497692656271142,0.8358438143422445,1.4486716026549666,18.967584107419324,2.7528707839532878,2900
